year fp_year fp_doy Np Tp Alpha_ratio Vp V_gsm_x V_gsm_y V_gsm_z B_gsm_x B_gsm_y B_gsm_z 
BEGIN DATA
2005 2005.05218690  20.048218      0.223  1.0633e+05     0.1256    700.77   -687.80    -83.25    106.91   -5.876    3.107    1.670
2005 2005.05218893  20.048959      0.243  1.1187e+05     0.1174    702.93   -690.31    -81.63    106.11   -5.837    3.180    1.662
2005 2005.05219096  20.049699      0.240  8.6129e+04     0.1321    703.41   -691.48    -84.22     99.31   -5.845    3.153    1.608
2005 2005.05219299  20.050440      0.263  1.1215e+05     0.1463    696.83   -685.80    -84.79     91.37   -5.745    3.267    1.651
2005 2005.05219502  20.051181      0.308  1.0759e+05     0.1658    688.15   -676.89    -85.62     91.26   -5.815    3.223    1.529
2005 2005.05219704  20.051921      0.346  7.6988e+04     0.1689    689.71   -678.54    -89.81     86.47   -5.985    2.971    1.552
2005 2005.05219907  20.052662  -9999.900 -9.9999e+03 -9999.9004  -9999.90  -9999.90  -9999.90  -9999.90   -5.929    3.073    1.268
2005 2005.05220110  20.053403      0.334  9.2164e+04     0.1729    688.78   -675.32    -96.80     96.47   -5.866    3.105    1.249
2005 2005.05220313  20.054144      0.311  9.7160e+04     0.1765    695.77   -682.97    -93.88     95.61   -5.824    3.184    1.242
2005 2005.05220516  20.054884      0.341  1.2055e+05     0.1625    689.56   -676.14    -97.16     95.94   -5.911    3.054    1.252
2005 2005.05220719  20.055625      0.287  1.0398e+05     0.1923    691.68   -679.33    -82.69    102.18   -5.884    3.098    1.258
2005 2005.05220922  20.056366      0.372  1.0769e+05     0.1902    681.64   -667.89   -100.61     93.45   -5.956    2.986    1.106
2005 2005.05221125  20.057107      0.424  1.0971e+05     0.1639    683.26   -668.19   -100.52    103.05   -5.915    3.046    0.922
2005 2005.05221328  20.057847      0.423  1.5074e+05     0.2343    684.65   -665.64   -107.80    120.23   -5.789    3.190    1.226
2005 2005.05221531  20.058588      0.448  1.2788e+05     0.2016    686.47   -670.97   -112.35     93.39   -5.925    3.116    1.170
2005 2005.05221734  20.059329      0.522  1.2410e+05     0.1944    679.33   -661.01   -110.59    112.77   -5.945    2.954    0.956
2005 2005.05221937  20.060070      0.324  1.4128e+05     0.2857    673.79   -657.06   -108.90    103.69   -5.938    2.994    0.858
2005 2005.05222140  20.060810      0.428  1.3208e+05     0.2723    671.65   -653.22   -110.65    112.05   -6.063    2.971    0.690
2005 2005.05222343  20.061551      0.410  2.0009e+05     0.2461    678.11   -659.71   -108.93    114.72   -6.030    2.982    0.869
2005 2005.05222546  20.062292      0.538  1.6539e+05     0.2070    681.14   -662.31   -112.86    113.82   -5.986    3.250    0.626
2005 2005.05222749  20.063033      0.484  9.9641e+04     0.2266    675.66   -655.89   -112.88    118.33   -5.998    3.235    0.588
2005 2005.05222952  20.063773      0.609  1.0584e+05     0.1871    681.55   -661.31   -115.49    119.47   -5.827    3.645    0.463
2005 2005.05223155  20.064514      0.357  1.0389e+05     0.1759    681.96   -659.92   -127.39    117.27   -6.019    3.180    1.353
2005 2005.05223358  20.065255      0.308  1.1744e+05     0.2265    681.83   -663.45   -116.68    107.26   -6.152    2.727    1.541
2005 2005.05223561  20.065996      0.488  8.8381e+04     0.2204    681.73   -662.83   -117.37    109.66   -5.573    3.805    0.840
2005 2005.05223763  20.066736      0.524  7.7475e+04     0.1760    675.69   -662.81    -97.87     89.35   -6.128    2.728    1.403
2005 2005.05223966  20.067477      0.437  8.4939e+04     0.2328    671.69   -659.04    -91.40     93.89   -6.178    2.876    1.202
2005 2005.05224169  20.068218      0.424  5.5889e+04     0.2336    669.59   -657.27    -86.56     95.96   -6.349    2.823    1.400
